t  x_1  x_2
0  0  -1.576236806131152e-09
1.001001001001001e-05  1.257861783874106e-06  1.259953139320052e-06
2.002002002002002e-05  2.515524538937585e-06  2.521006860282621e-06
3.003003003003003e-05  3.772789267871718e-06  3.781395695994673e-06
4.004004004004004e-05  5.029457036336619e-06  5.040930315499837e-06
5.005005005005005e-05  6.285329004448195e-06  6.2994213179396e-06
6.006006006006006e-05  7.540206458240159e-06  7.556679263863586e-06
7.007007007007007e-05  8.793890841106126e-06  8.812514706605228e-06
8.008008008008008e-05  1.00461837852168e-05  1.006673822364696e-05
9.009009009009009e-05  1.129688714290729e-05  1.131916044788431e-05
0.0001001001001001001  1.254580301802961e-05  1.256959209907551e-05
0.0001101101101101101  1.379273379726536e-05  1.381784401530999e-05
0.0001201201201201201  1.503748218139367e-05  1.506372718451243e-05
0.0001301301301301301  1.627985121650943e-05  1.630705277574347e-05
0.0001401401401401401  1.75196443251869e-05  1.75476321707648e-05
0.0001501501501501501  1.875666533758371e-05  1.878527699545539e-05
0.0001601601601601602  1.999071852248047e-05  2.001979915132146e-05
0.0001701701701701702  2.12216086182508e-05  2.125101084707431e-05
0.0001801801801801802  2.244914086375726e-05  2.247872462967053e-05
0.0001901901901901902  2.367312102916798e-05  2.370275341599115e-05
0.0002002002002002002  2.489335544668917e-05  2.492291052436496e-05
0.0002102102102102102  2.610965104120882e-05  2.613900970549007e-05
0.0002202202202202202  2.732181536084659e-05  2.735086517417011e-05
0.0002302302302302302  2.852965660740497e-05  2.855829164017738e-05
0.0002402402402402402  2.973298366671723e-05  2.976110433967532e-05
0.0002502502502502502  3.093160613888688e-05  3.095911906635167e-05
0.0002602602602602602  3.212533436841436e-05  3.215215220250432e-05
0.0002702702702702703  3.331397947420576e-05  3.334002074974685e-05
0.0002802802802802803  3.449735337945906e-05  3.452254236039177e-05
0.0002902902902902903  3.567526884142318e-05  3.569953536790145e-05
0.0003003003003003003  3.684753948102499e-05  3.687081881794109e-05
0.0003103103103103103  3.801397981235967e-05  3.80362124987473e-05
0.0003203203203203203  3.917440527203974e-05  3.919553697200973e-05
0.0003303303303303303  4.032863224839812e-05  4.034861360299311e-05
0.0003403403403403403  4.147647811054069e-05  4.149526459119242e-05
0.0003503503503503503  4.261776123724353e-05  4.263531300014901e-05
0.0003603603603603604  4.375230104569044e-05  4.376858278805855e-05
0.0003703703703703704  4.487991802004623e-05  4.48948988374231e-05
0.0003803803803803804  4.600043373986111e-05  4.601408698481198e-05
0.0003903903903903904  4.711367090830178e-05  4.712597405080285e-05
0.0004004004004004004  4.821945338020479e-05  4.823038786943501e-05
