t  x_1  x_2  x_3  x_4  x_5  x_6  x_7  x_8
0  0.000213628300444106  0.0002035749836777033  0.0002136283028516903  -1.005331676640271e-05  2.407584331551305e-12  -1.005331917398704e-05  -1.005331749496692e-05  1.679020122805422e-12
1.001001001001001e-05  0.0002450897623202523  0.0001732233685672125  0.0002083259615721766  -7.186639375303982e-05  -3.676380074807574e-05  -3.510259300496408e-05  -3.509062976441091e-05  1.196324055316726e-08
2.002002002002002e-05  0.0003337459015538134  0.0002316182894533895  0.0002840296173474109  -0.0001021276121004239  -4.971628420640249e-05  -5.241132789402141e-05  -5.239602895767251e-05  1.529893634889291e-08
3.003003003003003e-05  0.0004795826894391804  0.0003705817161863663  0.0004352488793639298  -0.0001090009732528141  -4.433381007525056e-05  -6.46671631775635e-05  -6.464798467485118e-05  1.917850271231395e-08
4.004004004004004e-05  0.0006825770497430442  0.0005829424706253223  0.0006565445122574676  -9.963457911772191e-05  -2.603253748557661e-05  -7.36020416321453e-05  -7.357844670627324e-05  2.359492587205789e-08
5.005005005005005e-05  0.0009426968623558184  0.0008625688485319031  0.000942725400253374  -8.012801382391527e-05  2.853789755560571e-08  -8.015655172147087e-05  -8.012802218000225e-05  2.852954146862451e-08
6.006006006006006e-05  0.001259900968374027  0.001204369017264974  0.001289021203327606  -5.5531951109053e-05  2.912023495357905e-05  -8.465218606263205e-05  -8.461825867390701e-05  3.39273887250361e-08
7.007007007007007e-05  0.001634139176612865  0.001604262190067674  0.001691233268785796  -2.987698654519089e-05  5.709409217293112e-05  -8.6971078718122e-05  -8.693134488709604e-05  3.973383102596519e-08
8.008008008008008e-05  0.002065352271547945  0.002059124313948979  0.002145857803834167  -6.227957598965977e-06  8.050553228622186e-05  -8.673348988518783e-05  -8.668762746400372e-05  4.586242118411257e-08
9.009009009009009e-05  0.002553472022684888  0.002566712537576339  0.002650176716720409  1.324051489145096e-05  9.67046940355213e-05  -8.346417914407035e-05  -8.341190075319797e-05  5.227839087237202e-08
0.0001001001001001001  0.003098421195355288  0.003125573090000402  0.003202312329598396  2.715189464511407e-05  0.000103891134243108  -7.673923959799394e-05  -7.668038906188295e-05  5.885053611098812e-08
0.0001101101101101101  0.00370011356293748  0.003734937352116246  0.0038012445502833  3.482378917876597e-05  0.0001011309873458202  -6.630719816705421e-05  -6.624171022956296e-05  6.548793749124038e-08
0.0001201201201201201  0.00435845392049993  0.004394610890816924  0.004446789778430639  3.615697031699415e-05  8.833585793070926e-05  -5.217888761371511e-05  -5.210674612773653e-05  7.214148597858155e-08
0.0001301301301301301  0.005073338099865577  0.005104860004906818  0.005139542999230473  3.152190504124124e-05  6.620489936489619e-05  -3.468299432365495e-05  -3.460426016513394e-05  7.873415852101273e-08
0.0001401401401401401  0.005844652986093737  0.00586629997949314  0.005880786228446025  2.16469933994037e-05  3.613324235228824e-05  -1.448624895288454e-05  -1.440109299430566e-05  8.515595857887942e-08
0.0001501501501501501  0.006672276535378298  0.006679788746683969  0.006672367924774693  7.512211305671194e-06  9.138939639514315e-08  7.420821909276051e-06  7.512189827133496e-06  9.136791785744475e-08
0.0001601601601601602  0.007556077794358332  0.007546329037030418  0.007516559001512317  -9.748757327914317e-06  -3.951879284601507e-05  2.977003551810076e-05  2.986736149841827e-05  9.732598031751e-08
0.0001701701701701702  0.008495916920838358  0.008466981443064479  0.008415892735352953  -2.893547777387852e-05  -8.002418548540453e-05  5.108870771152602e-05  5.119170986732716e-05  1.030021558011407e-07
0.0001801801801801802  0.009491645205915944  0.009442790099662243  0.009372996243285851  -4.885510625370071e-05  -0.0001186489626300927  6.979385637639196e-05  6.990224176925582e-05  1.083853928638551e-07
0.0001901901901901902  0.01054310509751032  0.01047472195938963  0.01039042174754359  -6.838313812069022e-05  -0.0001526833499667264  8.43002118460362e-05  8.441369320594944e-05  1.134813599132367e-07
0.0002002002002002002  0.01165013022529258  0.01156361996466086  0.01147048583614736  -8.651026063171904e-05  -0.0001796443891452174  9.313412851349838e-05  9.325241861153112e-05  1.182900980327417e-07
0.0002102102102102102  0.01281254542700886  0.01271016978385272  0.01261512469621355  -0.0001023756431561412  -0.0001974207307953099  9.504508763916869e-05  9.516800078344934e-05  1.229131442806453e-07
0.0002202202202202202  0.01403016677619744  0.01391487923623392  0.01382577193587088  -0.0001152875399635205  -0.0002043948403265584  8.910730036303799e-05  8.923463399317967e-05  1.273336301416822e-07
0.0002302302302302302  0.01530280161128911  0.01517806908007353  0.01510326566537308  -0.0001247325312155791  -0.0001995359459160285  7.480341470044935e-05  7.493504575236017e-05  1.31631051910816e-07
0.0002402402402402402  0.0166302485660925  0.01649987353031886  0.01644778855077696  -0.0001303750357736395  -0.0001824600153155428  5.20849795419033e-05  5.222084877683913e-05  1.358692349358315e-07
0.0002502502502502502  0.01801229760165556  0.01788024864764611  0.01785884405202144  -0.000132048954009447  -0.0001534535496341173  2.140459562467029e-05  2.154468965814144e-05  1.400940334711498e-07
0.0002602602602602602  0.01944873003949873  0.01931898668564188  0.01933526976298555  -0.0001297433538568517  -0.0001134602765131797  -1.628307734367201e-05  -1.613864641642968e-05  1.444309272423394e-07
0.0002702702702702703  0.02093931859621738  0.02081573449627076  0.02087528644990861  -0.0001235840999466199  -6.403214630876577e-05  -5.955195363785415e-05  -5.940307449861168e-05  1.488791392424693e-07
0.0002802802802802803  0.0224838274194419  0.02237001424766918  0.02247658062345242  -0.0001138131717727184  -7.246795989478139e-06  -0.0001065663757832402  -0.0001064128651914499  1.535105917903345e-07
0.0002902902902902903  0.02408201212515832  0.02398124491879059  0.02413641531429011  -0.0001007672063677301  5.440318913179157e-05  -0.0001551703954995216  -0.0001550120296223388  1.5836587718282e-07
0.0003003003003003003  0.02573361983637458  0.02564876333084962  0.02585176329330095  -8.485650552495991e-05  0.0001181434569263694  -0.0002029999624513293  -0.0002028365073719098  1.634550794195333e-07
0.0003103103103103103  0.02743838922313431  0.02737184378248575  0.02761945539686846  -6.654544064856049e-05  0.0001810661737341526  -0.0002476116143827131  -0.0002474427721955996  1.688421871134937e-07
0.0003203203203203203  0.02919605054386386  0.02914971570652598  0.02943633541960029  -4.633483733788163e-05  0.0002402848757364247  -0.0002866197130743063  -0.0002864452402481198  1.744728261865447e-07
0.0003303303303303303  0.03100632568805427  0.03098157907477724  0.0312994136599563  -2.474661327703243e-05  0.000293087971902025  -0.0003178345851790575  -0.0003176542394108979  1.803457681595622e-07
0.0003403403403403403  0.0328689282202666  0.03286661757921291  0.03320601003238683  -2.310641053694662e-06  0.0003370818121202282  -0.0003393924531739229  -0.0003392060385439058  1.864146300170622e-07
0.0003503503503503503  0.03478356342545126  0.03480400984459383  0.03515387930292639  2.044641914256823e-05  0.0003703158774751303  -0.0003498694583325621  -0.0003496767824728436  1.926758597184386e-07
0.0003603603603603604  0.03674992835558245  0.03679293909957355  0.0371413111412081  4.301074399110094e-05  0.0003913827856256505  -0.0003483720416345495  -0.0003481730148847534  1.990267497961606e-07
0.0003703703703703704  0.03876771187759054  0.03883260183943391  0.03916720001780458  6.488996184337431e-05  0.0003994881402140382  -0.0003345981783706639  -0.0003343927411525449  2.054372181189978e-07
0.0003803803803803804  0.04083659472259368  0.04092221600757199  0.04123108054558444  8.562128497830584e-05  0.0003944858229907519  -0.0003088645380124461  -0.0003086527144107593  2.118236016868114e-07
0.0003903903903903904  0.04295624953641272  0.04306102918765051  0.04333312692625831  0.0001047796512377852  0.0003768773898455841  -0.0002720977386077988  -0.000271879616644273  2.181219635258302e-07
0.0004004004004004004  0.04512634093136964  0.04524832715035142  0.04547411644654653  0.0001219862189817747  0.0003477755151768888  -0.0002257892961951141  -0.000225565012259156  2.242839359581361e-07
0.0004104104104104104  0.04734652553935092  0.04748344293332069  0.04765535935208215  0.0001369173939697738  0.000308833812731231  -0.0001719164187614572  -0.0001716861775908352  2.302411706220364e-07
0.0004204204204204204  0.04961645206614555  0.04976576641405379  0.04987859948777457  0.0001493143479082346  0.0002621474216290137  -0.0001128330737207792  -0.0001125971204808604  2.359532399187625e-07
0.0004304304304304304  0.05193576134701657  0.05209475409492462  0.05214589148967085  0.0001589927479080447  0.0002101301426542732  -5.113739474622847e-05  -5.089600714351661e-05  2.413876027118622e-07
0.0004404404404404404  0.05430408640354432  0.05446993861019184  0.05445946199459793  0.0001658522066475196  0.000155375591053615  1.047661559390456e-05  1.072314108927636e-05  2.465254953717966e-07
0.0004504504504504505  0.05672105250167993  0.05689093725629633  0.05682156314715783  0.0001698847546163992  0.0001005106454778984  6.937410913850084e-05  6.962547196763536e-05  2.51362829134516e-07
0.0004604604604604604  0.05918627721104795  0.0593574587145979  0.05923432716022119  0.0001711815035499442  4.804994917323446e-05  0.0001231315543767098  0.0001233874625011233  2.559081244135619e-07
0.0004704704704704705  0.06169937046545138  0.06186930702535132  0.06169963069124149  0.0001699365598999344  2.602257901107574e-07  0.0001696763341098237  0.0001699365243845938  2.60190274770089e-07
0.0004804804804804805  0.06425993462459317  0.06442638191242261  0.06421897712071245  0.000166447287829441  -4.095750388072306e-05  0.000207404791710164  0.0002076690337636661  2.642420535020618e-07
0.0004904904904904905  0.06686756453699157  0.06702867459531439  0.06679340382860957  0.0001611100583228248  -7.416070838199562e-05  0.0002352707667048204  0.0002355388729027574  2.681061979370458e-07
0.0005005005005005005  0.06952184760408547  0.06967625843211198  0.06942341995774462  0.0001544108280265022  -9.842764634085399e-05  0.0002528384743673562  0.0002531103154837094  2.718411163532553e-07
0.0005105105105105105  0.07222236384552046  0.0723692739584437  0.07210897826155312  0.0001469101129232403  -0.0001133855839673403  0.0002602956968905806  0.000260571190684955  2.754937943744151e-07
0.0005205205205205205  0.07496868596560072  0.07510790823285535  0.07484948258715715  0.0001392222672546295  -0.0001192033784435664  0.0002584256456981959  0.0002587047656859714  2.791199877755224e-07
0.0005305305305305305  0.07776037942089321  0.07789236875659086  0.07764383011988597  0.0001319893356976493  -0.0001165493010072405  0.0002485386367048897  0.0002488213952374363  2.827585325465565e-07
0.0005405405405405405  0.08059700248899605  0.08072285264989955  0.0804904854997467  0.0001258501609034957  -0.00010651698924935  0.0002323671501528457  0.0002326536323099399  2.864821570941478e-07
