t  x_1  x_2  x_3  x_4  x_5  x_6
0  0  7.285642348829984e-13  2.442160227739133e-12  7.285642348829984e-13  2.442160227739133e-12  -1.713595992856135e-12
1.001001001001001e-05  3.147836452469165e-05  -5.29740113532482e-06  -5.285436246599019e-06  -3.677576566001647e-05  -3.676380077129067e-05  -1.19648887258011e-08
2.002002002002002e-05  0.0001201852056523064  7.045361920138104e-05  7.046892065036675e-05  -4.973158645092535e-05  -4.971628500193965e-05  -1.530144898570648e-08
3.003003003003003e-05  0.0002661064866542891  0.0002217534931667188  0.0002217726769643551  -4.435299348757029e-05  -4.433380968993402e-05  -1.91837976362642e-08
4.004004004004004e-05  0.0004692191179276979  0.0004431629790412804  0.0004431865831408112  -2.60561388864175e-05  -2.60325347868867e-05  -2.360409953079809e-08
5.005005005005005e-05  0.0007294909606487422  0.0007294909610012573  0.0007295194967605146  3.525151091171574e-13  2.853611177249579e-08  -2.853575925738667e-08
6.006006006006006e-05  0.001046880831858132  0.001075967129928223  0.001076001064859958  2.908629807009096e-05  2.912023300182627e-05  -3.393493173530632e-08
7.007007007007007e-05  0.001421338510977443  0.001478392858371427  0.001478432601072333  5.705434739398398e-05  5.709409009489004e-05  -3.974270090605601e-08
8.008008008008008e-05  0.001852804747755517  0.001933264405258096  0.001933310293102373  8.045965750257903e-05  8.050554534685581e-05  -4.58878442767801e-08
9.009009009009009e-05  0.002341211271643546  0.002437863673550373  0.002437915963625039  9.665240190682729e-05  9.670469198149335e-05  -5.22900746660615e-08
0.0001001001001001001  0.002886480802597375  0.002990313071230885  0.002990371934857451  0.0001038322686335099  0.0001038911322600762  -5.88636265663571e-08
0.0001101101101101101  0.003488527063305448  0.003589592546344806  0.003589658067380047  0.0001010654830393581  0.0001011310040745991  -6.552103524104166e-08
0.0001201201201201201  0.004147254792840221  0.004235518491661135  0.004235590668607369  8.826369882091421e-05  8.833587576714819e-05  -7.21769462339733e-08
0.0001301301301301301  0.004862559761731363  0.004928685908100135  0.004928764659886235  6.612614636877269e-05  6.620489815487192e-05  -7.875178609922928e-08
0.0001401401401401401  0.005634328788457359  0.005670376854841123  0.005670462029971774  3.60480663837634e-05  3.61332415144142e-05  -8.517513065079557e-08
0.0001501501501501501  0.006462439757354236  0.006462439757692285  0.006462531146308785  3.380490332105524e-13  9.138895454893076e-08  -9.138861649989755e-08
0.0001601601601601602  0.007346761637937553  0.007307145496882308  0.007307242845143383  -3.961614105524487e-05  -3.951879279417026e-05  -9.734826107461042e-08
0.0001701701701701702  0.008287154505634857  0.008207027294718719  0.008207130320800015  -8.0127210916138e-05  -8.00241848348416e-05  -1.030260812964062e-07
0.0001801801801801802  0.009283469563926334  0.009164712191625075  0.009164820602559255  -0.0001187573723012581  -0.0001186489613670787  -1.084109341794454e-07
0.0001901901901901902  0.01033554916788726  0.01018275231132183  0.01018286581986001  -0.0001527968565654316  -0.0001526833480272518  -1.135085381798184e-07
0.0002002002002002002  0.01144322684913293  0.01126346414373345  0.01126358248440594  -0.0001797627053994801  -0.0001796443647269861  -1.183406724940272e-07
0.0002102102102102102  0.01260632734215731  0.01240878367118727  0.01240890661478187  -0.0001975436709700396  -0.0001974207273754362  -1.22943594603464e-07
0.0002202202202202202  0.01382466661206651  0.01362014441024846  0.01362027177599974  -0.0002045222018180505  -0.0002043948360667732  -1.273657512772947e-07
0.0002302302302302302  0.01509805188369629  0.01489838427807951  0.01489851594297878  -0.0001996676056167795  -0.0001995359407175046  -1.316648992749636e-07
0.0002402402402402402  0.01642628167211538  0.01624368575817202  0.01624382166295104  -0.0001825959139433626  -0.0001824600091643418  -1.359047790208678e-07
0.0002502502502502502  0.01780914581450569  0.01765555214074468  0.01765569229225569  -0.0001535936737610093  -0.0001534535222500015  -1.401515110077689e-07
