t  x_1  x_2
0  0  1.688293951191804e-10
5.005005005005005e-05  0.2083087064261774  0.1079867214917986
0.0001001001001001001  0.761360804725813  0.5694501686646415
0.0001501501501501502  1.658613414870196  1.38381232534585
0.0002002002002002002  2.899490099805528  2.550420965712239
0.0002502502502502502  4.483619861971328  4.068549629863419
0.0003003003003003003  6.410583477149744  5.937397617156061
0.0003503503503503504  8.679890059788921  8.156089996846161
0.0004004004004004004  11.29097003936091  10.72367763838924
0.0004504504504504505  14.24317243521281  13.63913725794271
0.0005005005005005005  17.5357636883606  16.90137148424778
0.0005505505505505506  21.16792715890077  20.50920894214873
0.0006006006006006007  25.13876294678537  24.4614043547554
0.0006506506506506507  29.44728788868344  28.75663866336983
0.0007007007007007008  34.09243566038858  33.39351916598356
0.0007507507507507507  39.07305694915377  38.37057967418102
0.0008008008008008008  44.38791967648126  43.68628068773926
0.0008508508508508509  50.03570926026177  49.33900958867643
0.0009009009009009009  56.01502890962733  55.32708085236099
0.000950950950950951  62.32439994839388  61.64873627797048
0.001001001001001001  68.96226216443581  68.30214523665428
0.001051051051051051  75.92697418321963  75.28540493845672
0.001101101101101101  83.21681386427345  82.59654071717242
0.001151151151151151  90.82997871972033  90.23350633393382
0.001201201201201201  98.76458635422958  98.19418429857355
0.001251251251251251  107.0186749258935  106.4763862097628
0.001301301301301301  115.5902036276368  115.0778531125576
0.001351351351351351  124.4770531888359  123.9962558755491
0.001401401401401402  133.6770263968734  133.2291955844524
0.001451451451451452  143.1878486383826  142.7742039547604
0.001501501501501501  153.0071684599653  152.6287437625468
0.001551551551551552  163.1325581481747  162.7902092924765
0.001601601601601602  173.5615143285684  173.2559268044834
0.001651651651651652  184.2914585836458  184.0231550178704
0.001701701701701702  195.3197380894816  195.0890856131673
0.001751751751751752  206.643626270875  206.4508437517863
0.001801801801801802  218.260323474832  218.1054886131515
0.001851851851851852  230.1669576621964  230.050013949767
0.001901901901901902  242.3605851172472  242.2813486587045
0.001951951951951952  254.8381911750747  254.7963573716022
0.002002002002002002  267.5966909665466  267.5918410608505
0.002052052052052052  280.6329301806737  280.664537663391
0.002102102102102102  293.9436858441789  294.0111227214787
0.002152152152152152  307.5256671180726  307.6282100400638
0.002202202202202202  321.3755161110344  321.5123523610577
0.002252252252252252  335.4898087093922  335.6600420538305
0.002302302302302303  349.8650554234968  350.0677118231207
0.002352352352352352  364.4977022502746  364.7317354320151
0.002402402402402403  379.3841315517461  379.6484284417058
0.002452452452452453  394.5206629492881  394.8140489674828
0.002502502502502502  409.9035542334225  410.224798450152
0.002552552552552553  425.5290022888983  425.8768224433754
0.002602602602602603  441.3931440348417  441.76621141629
0.002652652652652653  457.4920573797399  457.8890015718995
0.002702702702702703  473.8217621910204  474.2411756803479
0.002752752752752753  490.3782212789866  490.8186639270535
0.002802802802802803  507.1573413948643  507.6173447760702
0.002852852852852853  524.1549742427137  524.6330458479441
0.002902902902902903  541.3669175049555  541.8615448115163
0.002952952952952953  558.7889158812541  559.2985702909128
0.003003003003003003  576.4166621405066  576.939802785439
0.003053053053053053  594.2457981856727  594.7808756043167
0.003103103103103103  612.2719161311811  612.817375814371
0.003153153153153153  630.4905593926508  631.0448452013901
0.003203203203203203  648.8972237886524  649.4587812444934
0.003253253253253253  667.4873586542408  668.054638103612
0.003303303303303304  686.2563679659788  686.8278276196977
0.003353353353353353  705.1996114781799  705.7737203272181
0.003403403403403404  724.3124058700844  724.8876464790345
0.003453453453453454  743.5900259036845  744.1648970833619
0.003503503503503503  763.0277055919179  763.6007249524197
0.003553553553553554  782.6206393769334  783.190345762311
0.003603603603603604  802.3639833181419  802.9289391249346
0.003653653653653654  822.2528562897585  822.8116496698004
0.003703703703703704  842.2823411875378  842.8335881378098
0.003753753753753754  862.4474861444057  862.9898324844251
0.003803803803803804  882.7433057546855  883.2754289938326
0.003853853853853854  903.164782306617  903.6853934025878
0.003903903903903904  923.7068670228646  924.2147120329822
0.003953953953953955  944.3644813087028  944.8583429362063
0.004004004004004004  965.1325180075783  965.6112170442557
0.004054054054054054  986.0058426637319  986.4682393305078
0.004104104104104105  1006.979294791568  1007.42428997929
0.004154154154154154  1028.047689151463  1028.474225563418
0.004204204204204204  1049.205817031697  1049.612880229723
0.004254254254254255  1070.448447536177  1070.835066892523
0.004304304304304304  1091.77032887766  1092.135578433701
0.004354354354354354  1113.166189676132  1113.509188910898
0.004404404404404405  1134.630740262035  1134.950654771563
0.004454454454454455  1156.158673984011  1156.454716074009
0.004504504504504504  1177.744668520853  1178.016097714378
0.004554554554554555  1199.383387197324  1199.629510659604
0.004604604604604605  1221.069480303528  1221.289653185536
0.004654654654654655  1242.797586417502  1242.991212120822
0.004704704704704705  1264.562333730702  1264.728864095116
0.004754754754754755  1286.358341376066  1286.497276792378
0.004804804804804805  1308.180220758305  1308.291110207921
0.004854854854854855  1330.022576886112  1330.105017909845
0.004904904904904905  1351.880009706059  1351.933648303921
0.004954954954954956  1373.747115437212  1373.771645901195
0.005005005005005005  1395.618487907562  1395.61365258988
0.005055055055055055  1417.488719890816  1417.454308908318
0.005105105105105106  1439.352404442222  1439.288255321086
0.005155155155155155  1461.204136236643  1461.110133497191
0.005205205205205205  1483.03851290322  1482.914587589518
0.005255255255255256  1504.850136362643  1504.696265515519
0.005305305305305306  1526.633614160819  1526.449820239097
0.005355355355355355  1548.383560802226  1548.169911052891
0.005405405405405406  1570.094599081358  1569.851204861392
0.005455455455455456  1591.761361412115  1591.488377462962
0.005505505505505505  1613.378491154825  1613.076114832798
