t  x_1  x_2  x_3  x_4  x_5  x_6  x_7
0  0  0  0  0  0  0  0
1e-05  0.03769904983055476  0.03784920728363426  0.01645466054929241  0.02139454673434307  0.01385261498402196  -0.0001234062080411845  -0.01385261498402196
2e-05  0.07539772758670742  0.0756994265299961  0.03584573429583632  0.03985369224248348  0.04135772518316529  -0.0001710322581464312  -0.04135772518316529
3e-05  0.1130956611977281  0.11354839700317  0.05729037382546278  0.05625802318100599  0.08258746634623473  -0.000214995999916667  -0.08258746634623473
4e-05  0.1507924786002313  0.1513958146732353  0.08052141877534172  0.07087439590200723  0.1376038037909785  -0.0003174203825917146  -0.1376038037909785
5e-05  0.1884878077418481  0.1892414847141423  0.1057482656809235  0.0834932190332193  0.2064427717370602  -0.0005147356666295144  -0.2064427717370602
6.000000000000001e-05  0.2261812765848982  0.2270852258906865  0.1330664447537978  0.09401878113688973  0.2891125137646859  -0.0008157276952700858  -0.2891125137646859
7.000000000000001e-05  0.2638725131100613  0.2649268101472079  0.1622755167785128  0.1026512933686961  0.3856000434525494  -0.001208271551930144  -0.3856000434525494
8.000000000000001e-05  0.3015611453200497  0.3027659190655458  0.1930252035618608  0.1097407155036856  0.4958842903206756  -0.001672325443778107  -0.4958842903206756
9.000000000000001e-05  0.3392468012432791  0.3406021689330198  0.2249684992499759  0.1156336696830441  0.6199455280445511  -0.002189321289437469  -0.6199455280445511
0.0001  0.3769291089375395  0.3784351547911284  0.2578234135404388  0.1206117412526466  0.7577684453017719  -0.002745223302781392  -0.7577684453017719
0.00011  0.4146076964936672  0.416264474052537  0.2913780460845117  0.1248864279692247  0.9093418083237532  -0.003330191879021355  -0.9093418083237532
0.00012  0.4522821920392147  0.4540897322844699  0.3254771129312181  0.1286126193540025  1.074657289216716  -0.003937416577193698  -1.074657289216716
0.00013  0.4899522237421199  0.4919105421235555  0.3600068225369257  0.1319037195871125  1.253708451445933  -0.004562105637516357  -1.253708451445933
0.00014  0.5276174198143789  0.5297265210409524  0.3948828262128911  0.1348436948283818  1.446490058429632  -0.005200797317914645  -1.446490058429632
0.00015  0.565277408515712  0.5675372895988883  0.4300415831553915  0.1374957064437179  1.65299763431392  -0.005850922404074819  -1.65299763431392
0.00016  0.6029318181572347  0.6053424703346076  0.4654343877514415  0.1399080825833216  1.873227186369477  -0.006510527695088699  -1.873227186369477
0.00017  0.6405802771051258  0.6431416870834284  0.5010232641248538  0.1421184229586865  2.107175025629806  -0.007178097337358326  -2.107175025629806
0.00018  0.6782224137842944  0.6809345645672886  0.5367781241607928  0.1441564404065782  2.354837647450767  -0.007852433839376128  -2.354837647450767
0.00019  0.7158578566820485  0.7187207281384453  0.572674774320711  0.1460459538177963  2.616211649596758  -0.008532576462097669  -2.616211649596758
0.0002  0.7534862343517605  0.7564998036149814  0.6086934960626831  0.1478063075523458  2.891293674602332  -0.009217743786561041  -2.891293674602332
0.00021  0.7911071754165342  0.7942714171723319  0.64481801858444  0.1494533985879284  3.180080368323259  -0.009907292405034462  -3.180080368323259
0.00022  0.8287203085728696  0.8320351952701884  0.6810347638334832  0.151000431436734  3.482568349570495  -0.01060068664951827  -3.482568349570495
0.00023  0.8663252625943272  0.8697907646024555  0.7173322833800018  0.1524584812224766  3.798754187499817  -0.01129747604363895  -3.798754187499817
0.00024  0.9039216663351928  0.9075377520626259  0.7537008325548415  0.1538369195078026  4.128634384531393  -0.01199727826109071  -4.128634384531393
0.00025  0.9415091487341395  0.9452757847196982  0.790132044229785  0.1551437404899281  4.472205363277443  -0.01269976607484297  -4.472205363277443
0.00026  0.9790873388178906  0.9830044898014403  0.8266186759312959  0.1563858138701565  4.82946345641788  -0.01340465724123675  -4.82946345641788
0.00027  1.016655865704881  1.020723494682849  0.863154411626787  0.1575690830560718  5.200404898773376  -0.01411170657141856  -5.200404898773376
0.00028  1.054214358608918  1.058432426878344  0.8997337047662582  0.1586987221120948  5.585025821036695  -0.01482069965308453  -5.585025821036695
0.00029  1.091762446842839  1.09613091403669  0.9363516528077763  0.1597792612289205  5.983322244769741  -0.01553144783157751  -5.983322244769741
0.0003  1.129299759822172  1.133818583937901  0.9730038960237711  0.1608146879141363  6.395290078377053  -0.01624378416219281  -6.395290078377053
0.00031  1.166825927068792  1.171495064491664  1.00968653521787  0.1618085292737995  6.820925113840047  -0.01695756011888144  -6.820925113840047
0.00032  1.204340578214579  1.209159983736868  1.046396064305485  0.1627639194313868  7.260223024049508  -0.01767264289748196  -7.260223024049508
0.0003300000000000001  1.24184334300507  1.246812969841994  1.083129314678045  0.1636836551639528  7.713179360612625  -0.01838891319028185  -7.713179360612625
0.00034  1.279333851303119  1.284453651106169  1.119883408984399  0.164570242121774  8.179789552039544  -0.01910626333725249  -8.179789552039544
0.0003500000000000001  1.316811733092544  1.322081655960722  1.156655722495093  0.1654259334656316  8.660048902235765  -0.01982459578058923  -8.660048902235765
0.00036  1.35427661848178  1.359696612971135  1.193443850615861  0.1662527623552758  9.153952589242824  -0.02054382176521172  -9.153952589242824
0.00037  1.391728137707537  1.397298150839319  1.23024558142102  0.167052569418301  9.66149566418189  -0.02126386024005438  -9.66149566418189
0.00038  1.429165921138437  1.434885898406127  1.267058872310607  0.1678270260955223  10.1826730503643  -0.02198463692430167  -10.1826730503643
0.00039  1.466589599278673  1.472459484654068  1.30388183007517  0.1685776545789002  10.71747954254028  -0.02270608350992538  -10.71747954254028
0.0004  1.503998802771651  1.510018538710181  1.340712693792215  0.1693058449179683  11.26590980626268  -0.02342813697748489  -11.26590980626268
